gene_id	gene_name	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS00005	MM_RS00005	4314.04573446023	6938.17816949445	10721.1812087047	23051.5801203106	1060.06031870559	1987.10239747282	1537.0829699297	3729.20842821971
MM_RS00010	MM_RS00010	773.00810003752	2584.17606148372	10457.1813371989	8016.20163790433	155.008713509557	357.018595378182	819.0438759477	1190.06646047099
MM_RS00015	MM_RS00015	229.002439629348	527.006154727612	4434.0749605262	3465.08733032815	40.0021376871259	90.0048007229953	443.023945083763	709.039504023214
MM_RS00020	MM_RS00020	103.001116716539	184.002559411479	2846.0482163068	1909.04809970332	31.0016917186702	42.0021464976174	186.009889069089	510.028491431952
MM_RS00025	MM_RS00025	123.14281106264	257.560675314894	2180.03692655774	2225.05609837727	18.000805902692	62.0033954021356	284.01547519711	576.0320349376
MM_RS00030	MM_RS00030	110.928879847625	187.002623333132	3033.05124824034	3068.07724264996	16.0009468446844	32.0015990780138	101.00556199964	528.029595615787
MM_RS00035	MM_RS00035	48.0005566925448	71.5572080473017	32.0006356941474	15.0004984824203	29.0017147619175	50.0023729436457	11.0008498812102	18.519339990149
MM_RS00040	MM_RS00040	19.0002429100858	23.4672214654476	49.0007299364955	12.0002553196857	8.00051325299937	15.000899912803	42.0019468354063	19.4827177805959
MM_RS00045	MM_RS00045	116.001210951416	196.002774236892	373.00633497819	102.002532348323	56.0030670063212	110.005704731306	193.010529022051	178.010036967187
MM_RS00050	MM_RS00050	185.686940139279	512.861202700276	1131.57046611368	478.138979709175	88.2571939083765	202.945132747847	310.602263004313	751.68161179915
MM_RS00055	MM_RS00055	76.0049421372409	260.894932601739	251.944962785083	83.0020873740758	8.00049413428393	11.0005573425643	9.00046843838894	8.00046097785665
MM_RS00060	MM_RS00060	90.0009437019611	273.003898471728	285.004781595418	131.003290584658	8.00052281235708	25.0013650475245	9.0004788388415	8.00052377503485
MM_RS00065	MM_RS00065	410.004356549552	441.150055969295	130.002257880583	97.0024311631733	126.007263223203	64.003343467628	27.0013689135829	82.0046161745884
MM_RS00070	MM_RS00070	77.1564375216411	86.0855586352096	89.0015150529049	36.0009357621072	14.0008583620917	21.0010382339652	21.0011450251703	9.00060651613821
MM_RS00075	MM_RS00075	601.230799303571	1826.33955762215	3422.90318337492	1430.81936858899	259.376444211612	437.666069030743	527.957668729571	473.244267367659
MM_RS00080	MM_RS00080	145.604573430209	385.448131784829	1010.78886936756	347.434423740708	37.4619520290105	75.0744610384963	127.233005852402	217.322915179701
MM_RS00090	MM_RS00090	622.99584158415	1581.01776746475	3024.05116090113	1658.04178636439	81.0045187688339	161.00816638131	306.016370657866	259.014279440413
MM_RS00095	MM_RS00095	381.002558236241	927.693274123007	1330.69630135771	998.021236547605	25.0013297213792	67.0031890584336	80.004015170319	91.0047325378184
MM_RS00105	MM_RS00105	2553.02708195552	4565.06397826791	1485.02516799609	984.024632029594	900.050769004201	660.033815212681	666.035794623293	251.01429572111
MM_RS00110	MM_RS00110	33.0053282376667	63.0018867090049	28.0162760915954	15.0004984824203	8.00060884657652	16.0007610226791	9.00038523476849	13.0004225436904
MM_RS00115	MM_RS00115	80.7565318434304	287.750883769767	440.277187661973	375.780509994442	7.14342137882055	8.56978343416725	9.06218939828219	30.3900580649116
MM_RS00120	MM_RS00120	173.217785247741	139.246560709576	159.002607927241	36.4804517787113	6.46187567928515	38.4486843683784	0	25.0013861315809
MM_RS00125	MM_RS00125	114.079217854937	105.486730404958	74.4188955696792	25.9100734825823	31.3977330707645	73.2341130046171	26.6014555145953	52.9966508096011
MM_RS00130	MM_RS00130	527.00558342389	786.011157799487	361.006110844797	150.003760682826	47.0026401565809	105.005453781152	35.0019170423276	50.0027366780942
MM_RS00135	MM_RS00135	241.997309379862	579.719110975292	154.002577088386	68.0016945853908	88.0050403570044	119.006156441582	57.0030603805363	85.0047094981923
MM_RS00145	MM_RS00145	144.234290776837	353.010764949872	167.002853154024	49.0021558049724	30.0016044602642	56.0028946773437	19.0010651954732	49.0028737271145
